Sample Number,Pass Number,Simulant Year,Titanium Peak Value,Iron Peak Value,Titanium Content,Iron Content,Titanium (Transformed),Iron (Transformed)
08,01,2025,7551.0,156467.0,0.15017997367105718,0.15595978916039843,2.2124478077010945,0.8737112504417378
08,02,2025,7871.0,152664.0,0.1790853566170153,0.054202855856848385,2.2132325882324477,0.873711222132219
08,03,2025,8030.0,171256.0,0.19344771876828823,0.5516693044447007,2.213605613033933,0.8737113477772206
09,00,2025,5354.0,133233.0,-0.048273546117286584,-0.4657127294761206,2.2053600137128613,0.8737110502392615
09,01,2025,8214.0,157394.0,0.21006831396221415,0.18076354334719594,2.2140242019884524,0.8737112571201537
09,02,2025,6341.0,132269.0,0.04088149440665301,-0.49150649326907936,2.20898274449291,0.8737110402962985
09,03,2025,7387.0,163441.0,0.13536596491125363,0.3425632214136085,2.212026740924505,0.8737112986953718
10,00,2025,6881.0,127188.0,0.08965932812795735,-0.6274588935097677,2.210637705228505,0.873710985213074
10,01,2025,7374.0,156956.0,0.13419168372907408,0.16904397017155698,2.2119927868631564,0.8737112539751977
10,02,2025,7555.0,157272.0,0.15054129095788163,0.17749918734850198,2.2124579124590857,0.8737112562460487
10,03,2025,9304.0,191171.0,0.308527274621884,1.0845352857069146,2.2162527586281833,0.8737114535193491
11,00,2025,5419.0,137728.0,-0.042402140206388834,-0.3454399408357163,2.2056274945951557,0.8737110946349527
11,01,2025,9197.0,153798.0,0.29886203719932924,0.08454531243487251,2.2160510259348447,0.8737112307308282
11,02,2025,6156.0,147507.0,0.024170569891020968,-0.08378307762892799,2.208368211158185,0.8737111812374735
11,03,2025,9309.0,192760.0,0.3089789212304146,1.1270521847390842,2.216262103442744,0.8737114609502317
12,00,2025,6234.0,135979.0,0.031216256984098262,-0.39223796248912385,2.208630519847093,0.8737110777346175
12,01,2025,7341.0,169842.0,0.13121081611277216,0.5138348832795101,2.2119062064007706,0.8737113392552578
12,02,2025,6658.0,150119.0,0.06951588938749277,-0.013893750837218105,2.2099777863552146,0.8737112023270217
12,03,2025,10257.0,198678.0,0.3946111182078156,1.2854002076921236,2.217912957272732,0.8737114875060391
13,00,2025,6563.0,145035.0,0.06093460382541146,-0.14992642212705468,2.209686880801946,0.8737111605271604
13,01,2025,7404.0,146262.0,0.13690156338025766,-0.11709556302543597,2.2120710124760055,0.8737111709007417
13,02,2025,7039.0,147538.0,0.10393136095752417,-0.08295361012106314,2.2110868745200536,0.8737111814924676
13,03,2025,8325.0,208360.0,0.2200948686715934,1.5444616403097864,2.214270233057761,0.8737115274744793
14,00,2025,5797.0,134710.0,-0.008257656601475804,-0.42619261627881755,2.207096052930105,0.8737110651776571
14,01,2025,7604.0,165031.0,0.15496742772148148,0.3851068774621609,2.2125810723214028,0.8737113090854721
14,02,2025,4781.0,113681.0,-0.10003224745489285,-0.9888659137914008,2.2027800735165974,0.8737108129411171
14,03,2025,8644.0,185819.0,0.24890992229584538,0.9413317340265044,2.2149517038028677,0.8737114274869264
15,00,2025,5377.0,130713.0,-0.04619597171804584,-0.5331404107606186,2.2054551941556424,0.8737110239152672
15,01,2025,11159.0,166260.0,0.476088166386735,0.41799125059654507,2.2192912068794572,0.873711316970637
15,02,2025,9543.0,183121.0,0.33011598250964647,0.8691413038258791,2.216691499549391,0.8737114137442519
15,03,2025,9598.0,215258.0,0.33508409520348303,1.7290315393179085,2.21679022545668,0.8737115536047152
